datetime,demanda_MW,generacion_renovable_MW,generacion_no_renovable_MW,precio_electricidad_MW,temperatura_media,festivo
2014-11-02 01:00:00,20725.0,6207.0,14888.0,116.58,19.28,0
2014-11-02 02:00:00,19769.0,6314.0,14051.0,112.66,19.07,0
2014-11-02 03:00:00,18794.0,6319.0,13824.0,115.73,18.87,0
2014-11-02 04:00:00,18450.0,6560.0,13563.0,111.0,18.65,0
2014-11-02 05:00:00,18354.0,6798.0,13588.0,109.83,18.55,0
2014-11-02 06:00:00,18338.0,7044.0,13508.0,109.79,18.45,0
2014-11-02 07:00:00,18970.0,7421.0,13590.0,107.85,18.39,0
2014-11-02 08:00:00,18682.0,7505.0,13048.0,108.29,18.46,0
2014-11-02 09:00:00,20244.0,7870.0,13605.0,118.65,18.63,0
2014-11-02 10:00:00,21931.0,8502.0,14037.0,122.32,18.95,0
2014-11-02 11:00:00,23255.0,8833.0,14284.0,119.48,19.12,0
2014-11-02 12:00:00,23527.0,9340.0,13230.0,115.95,19.32,0
2014-11-02 13:00:00,23707.0,10085.0,12916.0,119.12,19.41,0
2014-11-02 14:00:00,24023.0,10225.0,13261.0,118.49,19.51,0
2014-11-02 15:00:00,23147.0,9795.0,12912.0,114.55,19.66,0
2014-11-02 16:00:00,22314.0,9225.0,13195.0,114.16,19.65,0
2014-11-02 17:00:00,21885.0,8388.0,13282.0,118.46,19.63,0
2014-11-02 18:00:00,23064.0,7627.0,13886.0,132.87,19.62,0
2014-11-02 19:00:00,25720.0,7281.0,14709.0,138.27,19.63,0
2014-11-02 20:00:00,26340.0,7026.0,14481.0,137.29,19.65,0
2014-11-02 21:00:00,27086.0,7082.0,14596.0,132.02,19.61,0
2014-11-02 22:00:00,26200.0,7350.0,14712.0,126.41,19.42,0
2014-11-02 23:00:00,24210.0,7647.0,13991.0,118.7,19.3,0
2014-11-03 00:00:00,21975.0,7902.0,13518.0,114.49,19.25,0
2014-11-03 01:00:00,20522.0,8403.0,13009.0,114.26,19.27,0
2014-11-03 02:00:00,19887.0,8649.0,12757.0,112.23,19.34,0
2014-11-03 03:00:00,19609.0,8753.0,12732.0,111.09,19.32,0
2014-11-03 04:00:00,19599.0,9131.0,12530.0,110.35,19.09,0
