ds,y,temperatura,coste_euros,tmin,tmax,velmedia,sol,racha,prec_log
2018-10-01 00:00:00,0.006,21.8,0.0009490199999999,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 01:00:00,0.007,22.03,0.00104083,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 02:00:00,0.006,22.27,0.00083748,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 03:00:00,0.007,22.33,0.00094346,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 04:00:00,0.007,22.38,0.00102473,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 05:00:00,0.006,22.09,0.00096576,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 06:00:00,0.007,21.69,0.00135261,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 07:00:00,0.006,21.14,0.0015048,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 08:00:00,0.007,20.94,0.00127001,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 09:00:00,0.006,20.81,0.001212,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 10:00:00,0.006,19.98,0.0010524,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 11:00:00,0.007,19.99,0.00114716,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 12:00:00,0.062,19.94,0.01035958,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 13:00:00,0.168,19.63,0.01512336,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 14:00:00,0.008,19.35,0.00072544,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 15:00:00,0.033,19.39,0.00346104,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 16:00:00,0.047,19.65,0.00768685,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 17:00:00,0.007,19.86,0.00204036,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 18:00:00,0.008,19.73,0.00264888,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 19:00:00,0.007,19.58,0.00216594,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 20:00:00,0.207,19.36,0.0582912,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 21:00:00,5.644,19.29,1.17242812,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 22:00:00,6.292,19.37,1.2278838,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-01 23:00:00,2.167,19.19,0.3438162199999999,14.4,22.8,4.7,6.7,11.4,0.0
2018-10-02 00:00:00,2.177,19.22,0.34433609,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 01:00:00,2.194,19.39,0.32622586,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 02:00:00,2.199,19.48,0.30693642,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 03:00:00,2.189,19.23,0.29503342,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 04:00:00,2.192,19.03,0.32088688,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 05:00:00,2.225,18.68,0.358136,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 06:00:00,2.209,18.29,0.42684507,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 07:00:00,2.175,18.05,0.54549,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 08:00:00,2.457,18.19,0.44577351,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 09:00:00,4.409,18.55,0.890618,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 10:00:00,3.216,18.96,0.5640864,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 11:00:00,0.304,19.44,0.04981952,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 12:00:00,0.298,19.9,0.04979282,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 13:00:00,0.302,20.1,0.02718604,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 14:00:00,0.303,20.19,0.02747604,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 15:00:00,0.302,20.18,0.03167376,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 16:00:00,0.302,20.3,0.0493921,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 17:00:00,0.304,20.49,0.08860992,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 18:00:00,0.311,20.69,0.10297521,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 19:00:00,1.14,20.8,0.3527388,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 20:00:00,1.918,20.76,0.5401088000000001,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 21:00:00,5.811,20.76,1.20711903,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 22:00:00,6.186,21.65,1.2071979000000002,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-02 23:00:00,2.192,21.6,0.34778272,11.0,24.6,6.4,9.7,15.3,0.0
2018-10-03 00:00:00,2.181,21.6,0.34496877,16.4,25.1,3.9,9.8,10.8,0.0
2018-10-03 01:00:00,2.198,21.59,0.3268206199999999,16.4,25.1,3.9,9.8,10.8,0.0
2018-10-03 02:00:00,2.195,21.45,0.3063781,16.4,25.1,3.9,9.8,10.8,0.0
2018-10-03 03:00:00,2.155,21.26,0.2904509,16.4,25.1,3.9,9.8,10.8,0.0
2018-10-03 04:00:00,2.092,21.19,0.30624788,16.4,25.1,3.9,9.8,10.8,0.0
